Country,Clicks,Impressions,CTR,Position
United States,305,11826,2.58%,9.27
Canada,3,456,0.66%,16.55
Australia,3,84,3.57%,7.71
United Kingdom,2,274,0.73%,11.11
India,1,202,0.5%,27.73
Japan,1,39,2.56%,7.92
Thailand,1,31,3.23%,13.03
Czechia,1,16,6.25%,7.31
Panama,1,10,10%,8.9
Iceland,1,6,16.67%,7.5
Brazil,0,165,0%,12.75
Germany,0,138,0%,39.15
Vietnam,0,115,0%,13.97
Indonesia,0,73,0%,12.48
China,0,70,0%,9.76
Mexico,0,68,0%,12.88
Spain,0,67,0%,13.85
Argentina,0,57,0%,16.7
Philippines,0,55,0%,8.95
France,0,45,0%,7.09
Italy,0,45,0%,11.33
Turkey,0,45,0%,13.51
Pakistan,0,40,0%,13.12
South Africa,0,39,0%,12.33
Malaysia,0,38,0%,6.89
South Korea,0,37,0%,16.3
Hong Kong,0,34,0%,15.32
Netherlands,0,33,0%,8.67
New Zealand,0,32,0%,7.72
Bangladesh,0,28,0%,16.93
Poland,0,27,0%,12.41
Chile,0,27,0%,12.52
Ireland,0,25,0%,7.16
Ukraine,0,25,0%,14.16
Russia,0,22,0%,15.86
Portugal,0,21,0%,13.48
Iraq,0,21,0%,18.62
Austria,0,21,0%,40.24
Egypt,0,20,0%,18.05
Colombia,0,20,0%,21.7
Kenya,0,20,0%,25.2
Romania,0,18,0%,8.72
Algeria,0,17,0%,11.47
Ecuador,0,17,0%,14.41
Saudi Arabia,0,17,0%,18.41
Greece,0,16,0%,8.19
Sweden,0,16,0%,11.56
Morocco,0,16,0%,16.12
Switzerland,0,16,0%,44.5
Hungary,0,15,0%,9.4
United Arab Emirates,0,15,0%,10.33
Singapore,0,15,0%,11.53
Belgium,0,13,0%,7.08
Denmark,0,12,0%,5.92
Israel,0,12,0%,12.42
Peru,0,11,0%,12.64
Iran,0,10,0%,9.6
Norway,0,10,0%,11.4
Croatia,0,10,0%,12
Finland,0,9,0%,7.33
Tunisia,0,9,0%,17.89
Costa Rica,0,9,0%,18.11
Venezuela,0,9,0%,28.33
Taiwan,0,8,0%,8.62
Sri Lanka,0,7,0%,8
Puerto Rico,0,6,0%,6.67
Kuwait,0,6,0%,8.17
Azerbaijan,0,6,0%,11.67
Guatemala,0,6,0%,12.5
Mongolia,0,6,0%,15
Serbia,0,6,0%,16.67
Uruguay,0,6,0%,21.33
Kazakhstan,0,5,0%,13.8
Lebanon,0,5,0%,13.8
Senegal,0,5,0%,25.6
Bosnia & Herzegovina,0,4,0%,3
Barbados,0,4,0%,6.75
Botswana,0,4,0%,6.75
Nepal,0,4,0%,9.25
Dominican Republic,0,4,0%,9.5
Moldova,0,4,0%,12.75
Nigeria,0,4,0%,14
Bahrain,0,4,0%,16.75
Paraguay,0,4,0%,20
Bolivia,0,4,0%,20.5
Jordan,0,4,0%,23.75
Jamaica,0,3,0%,1
Malta,0,3,0%,3.33
Papua New Guinea,0,3,0%,4.33
Bhutan,0,3,0%,4.67
Myanmar (Burma),0,3,0%,5
Lithuania,0,3,0%,5.67
Albania,0,3,0%,7
Ethiopia,0,3,0%,7.33
Belarus,0,3,0%,7.67
Georgia,0,3,0%,7.67
Oman,0,3,0%,11.67
Angola,0,3,0%,13.33
Palestine,0,3,0%,20.33
Estonia,0,3,0%,30
Honduras,0,2,0%,2
Bahamas,0,2,0%,4
Guinea-Bissau,0,2,0%,5
Trinidad & Tobago,0,2,0%,5.5
Ghana,0,2,0%,6.5
Belize,0,2,0%,9.5
Slovenia,0,2,0%,10.5
Zimbabwe,0,2,0%,11.5
Brunei,0,2,0%,12
Uzbekistan,0,2,0%,13.5
Slovakia,0,2,0%,14.5
Côte d’Ivoire,0,2,0%,19.5
Guyana,0,2,0%,27
Qatar,0,2,0%,28.5
Cambodia,0,2,0%,29.5
Congo - Kinshasa,0,1,0%,1
South Sudan,0,1,0%,1
St. Lucia,0,1,0%,2
Congo - Brazzaville,0,1,0%,3
Haiti,0,1,0%,3
Mali,0,1,0%,3
Grenada,0,1,0%,4
Namibia,0,1,0%,5
Tanzania,0,1,0%,5
Kosovo,0,1,0%,5
Maldives,0,1,0%,6
North Korea,0,1,0%,6
Cuba,0,1,0%,7
Isle of Man,0,1,0%,8
Macedonia,0,1,0%,9
Sudan,0,1,0%,9
Syria,0,1,0%,9
Bermuda,0,1,0%,10
Libya,0,1,0%,11
Samoa,0,1,0%,11
Rwanda,0,1,0%,14
Guadeloupe,0,1,0%,19
Bulgaria,0,1,0%,20
Nicaragua,0,1,0%,42
Latvia,0,1,0%,50
